collection,profile,kernel,compute_recipes,compute_tp,cpu,dominant_recurrence,eligible,exclusion_reason,fallback_reason,final_score,fma_pairs,fma_savings_tp,full_evl_savings_tp,full_width_iterations,function,kind,lcd,legacy_cost,loop,memory_recipes,memory_tp,ordinary_pressure_excluded,other_recipes,other_tp,recurrence_distance,runtime_vf,scalable,scalar_address_register_recipes,target,tp,vf,zero_cost_recipes
final-none-observe,none,s311,2,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:100:16 (!tbaa !32)",,0,0,2,True,selected_kernel,candidate,,7,for.body,1,1,False,13,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,14
final-none-observe,none,s311,2,4,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:100:16 (!tbaa !32)",,0,0,3,True,selected_kernel,candidate,,11,for.body,1,2,False,13,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,14
final-none-observe,none,s311,2,12,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:100:16 (!tbaa !32)",,0,0,0,False,selected_kernel,candidate,,19,for.body,1,4,False,13,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,12
final-none-observe,none,s311,2,24,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:100:16 (!tbaa !32)",,0,0,0,False,selected_kernel,candidate,,35,for.body,1,8,False,13,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,12
final-none-observe,none,s4112,3,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:110:19 (!tbaa !10)",,1,3,1,True,selected_kernel,candidate,,14,for.body,4,6,False,16,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,17
final-none-observe,none,s4112,3,3,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:110:19 (!tbaa !10)",,1,3,1,True,selected_kernel,candidate,,18,for.body,4,9,False,16,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,17
final-none-observe,none,s4112,3,6,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:110:19 (!tbaa !10)",,1,6,1,True,selected_kernel,candidate,,33,for.body,4,18,False,16,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,17
final-none-observe,none,s4112,3,12,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:110:19 (!tbaa !10)",,1,12,0,False,selected_kernel,candidate,,63,for.body,4,36,False,16,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,16
final-none-observe,none,s4112,3,25,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%1> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/tsvc_kernels.c:110:19 (!tbaa !10)",,1,24,0,False,selected_kernel,candidate,,124,for.body,4,72,False,16,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,16
final-none-observe,none,jacobi-2d-imper-l00,6,12,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%2> = vp.load vp<%9>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:68:40 (!tbaa !35)",,0,0,1,True,selected_kernel,candidate,,21,for.body,5,5,False,25,3,0,2,True,0,riscv64-unknown-unknown-elf,,1,24
final-none-observe,none,jacobi-2d-imper-l00,6,12,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%2> = vp.load vp<%9>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:68:40 (!tbaa !35)",,0,0,1,True,selected_kernel,candidate,,21,for.body,5,5,False,25,3,0,4,True,0,riscv64-unknown-unknown-elf,,2,24
final-none-observe,none,jacobi-2d-imper-l00,6,24,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%2> = vp.load vp<%9>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:68:40 (!tbaa !35)",,0,0,1,True,selected_kernel,candidate,,38,for.body,5,10,False,25,3,0,8,True,0,riscv64-unknown-unknown-elf,,4,24
final-none-observe,none,jacobi-2d-imper-l00,6,48,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%2> = vp.load vp<%9>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:68:40 (!tbaa !35)",,0,0,0,False,selected_kernel,candidate,,72,for.body,5,20,False,25,4,0,16,True,0,riscv64-unknown-unknown-elf,,8,23
final-none-observe,none,jacobi-2d-imper-l00,6,96,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%2> = vp.load vp<%9>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:68:40 (!tbaa !35)",,0,0,0,False,selected_kernel,candidate,,140,for.body,5,40,False,25,4,0,32,True,0,riscv64-unknown-unknown-elf,,16,23
final-none-observe,none,gesummv-l00,6,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%8>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:75:15 (!tbaa !35)",,2,6,3,True,selected_kernel,candidate,,16,for.body,3,3,False,18,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,22
final-none-observe,none,gesummv-l00,6,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%8>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:75:15 (!tbaa !35)",,2,6,3,True,selected_kernel,candidate,,16,for.body,3,3,False,18,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,22
final-none-observe,none,gesummv-l00,6,4,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%8>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:75:15 (!tbaa !35)",,2,12,5,True,selected_kernel,candidate,,29,for.body,3,6,False,18,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,22
final-none-observe,none,gesummv-l00,6,16,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%8>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:75:15 (!tbaa !35)",,2,24,0,False,selected_kernel,candidate,,55,for.body,3,12,False,18,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,19
final-none-observe,none,gesummv-l00,6,32,xiangshan-kunminghu,,False,register pressure,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%8>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:75:15 (!tbaa !35)",,2,48,0,False,selected_kernel,candidate,,107,for.body,3,24,True,18,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,19
final-none-observe,none,bicg-l01,5,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:85:21 (!tbaa !35)",,2,6,2,True,selected_kernel,candidate,,16,for.body,4,4,False,18,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,21
final-none-observe,none,bicg-l01,5,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:85:21 (!tbaa !35)",,2,6,2,True,selected_kernel,candidate,,16,for.body,4,4,False,18,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,21
final-none-observe,none,bicg-l01,5,4,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:85:21 (!tbaa !35)",,2,12,3,True,selected_kernel,candidate,,29,for.body,4,8,False,18,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,21
final-none-observe,none,bicg-l01,5,12,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:85:21 (!tbaa !35)",,2,24,0,False,selected_kernel,candidate,,55,for.body,4,16,False,18,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,19
final-none-observe,none,bicg-l01,5,24,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%7>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:85:21 (!tbaa !35)",,2,48,0,False,selected_kernel,candidate,,107,for.body,4,32,False,18,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,19
final-none-observe,none,gemver-l00,4,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:110:21 (!tbaa !35)",,2,6,1,True,selected_kernel,candidate,,15,for.body,4,4,False,17,2,0,2,True,0,riscv64-unknown-unknown-elf,,1,19
final-none-observe,none,gemver-l00,4,2,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:110:21 (!tbaa !35)",,2,6,1,True,selected_kernel,candidate,,15,for.body,4,4,False,17,2,0,4,True,0,riscv64-unknown-unknown-elf,,2,19
final-none-observe,none,gemver-l00,4,4,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:110:21 (!tbaa !35)",,2,12,1,True,selected_kernel,candidate,,27,for.body,4,8,False,17,2,0,8,True,0,riscv64-unknown-unknown-elf,,4,19
final-none-observe,none,gemver-l00,4,8,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:110:21 (!tbaa !35)",,2,24,0,False,selected_kernel,candidate,,51,for.body,4,16,False,17,3,0,16,True,0,riscv64-unknown-unknown-elf,,8,18
final-none-observe,none,gemver-l00,4,16,xiangshan-kunminghu,,True,,"unsupported-or-invalid-recipe-latency: recipe-id=19 WIDEN ir<%0> = vp.load vp<%6>, vp<%evl>, !dbg experiments/tp-lcd/inputs/application_kernels.c:110:21 (!tbaa !35)",,2,48,0,False,selected_kernel,candidate,,99,for.body,4,32,False,17,3,0,32,True,0,riscv64-unknown-unknown-elf,,16,18
